C0023791,ISA,C0033684,AFFECTS,C0596620,DISRUPTS,C0033148,3
C0023791,PART_OF__SPEC__,C0034343,AFFECTS,C0596620,DISRUPTS,C0033148,3
C0023791,INTERACTS_WITH,C0164786,AFFECTS,C0596620,DISRUPTS,C0033148,3
C0023791,STIMULATES,C0164786,AFFECTS,C0596620,DISRUPTS,C0033148,3
C0023791,ISA,C0013227,AFFECTS,C0596620,DISRUPTS,C0033148,3
C0023791,INTERACTS_WITH,C0033684,AFFECTS,C0596620,DISRUPTS,C0033148,3
C0023791,ISA,C0033684,AFFECTS,C0596620,DISRUPTS,C0033148,3
C0023791,AUGMENTS,C1159527,CAUSES,C0596620,DISRUPTS,C0033148,3
C0023791,STIMULATES,C1420173,DISRUPTS,C0596620,DISRUPTS,C0033148,3
C0023791,TREATS,C0026809,PROCESS_OF__SPEC__,C0596620,DISRUPTS,C0033148,3
C0023791,ADMINISTERED_TO,C0026809,PROCESS_OF__SPEC__,C0596620,DISRUPTS,C0033148,3
C0023791,MENTIONED_IN,14991456,MENTIONED_IN,C0596620,DISRUPTS,C0033148,3
C0023791,HAS_MESH,14991456,MENTIONED_IN,C0596620,DISRUPTS,C0033148,3
C0023791,MENTIONED_IN,24220168,MENTIONED_IN,C0596620,DISRUPTS,C0033148,3
C0023791,HAS_MESH,24220168,MENTIONED_IN,C0596620,DISRUPTS,C0033148,3
C0023791,MENTIONED_IN,27457486,MENTIONED_IN,C0596620,DISRUPTS,C0033148,3
C0023791,MENTIONED_IN,28269772,MENTIONED_IN,C0596620,DISRUPTS,C0033148,3
C0023791,MENTIONED_IN,28654383,MENTIONED_IN,C0596620,DISRUPTS,C0033148,3
C0023791,MENTIONED_IN,23875003,MENTIONED_IN,C0596620,DISRUPTS,C0033148,3
C0023791,HAS_MESH,23875003,MENTIONED_IN,C0596620,DISRUPTS,C0033148,3
C0023791,MENTIONED_IN,23840916,MENTIONED_IN,C0596620,DISRUPTS,C0033148,3
C0023791,MENTIONED_IN,25324467,MENTIONED_IN,C0596620,DISRUPTS,C0033148,3
C0023791,MENTIONED_IN,25817254,MENTIONED_IN,C0596620,DISRUPTS,C0033148,3
C0023791,MENTIONED_IN,22329651,MENTIONED_IN,C0596620,DISRUPTS,C0033148,3
C0023791,USES,C0087111,USES,C0033148,C0033148,2
C0023791,AFFECTS,C0678908,AFFECTS,C0087111,USES,C0033148,3
C0023791,TREATS__INFER__,C0497327,AFFECTS,C0087111,USES,C0033148,3
C0023791,PREVENTS,C0242606,AFFECTS,C0087111,USES,C0033148,3
C0023791,AFFECTS,C0206249,AFFECTS,C0087111,USES,C0033148,3
C0023791,AUGMENTS,C0206249,AFFECTS,C0087111,USES,C0033148,3
C0023791,CAUSES__SPEC__,C0012634,AFFECTS,C0087111,USES,C0033148,3
C0023791,DISRUPTS,C0021368,AFFECTS,C0087111,USES,C0033148,3
C0023791,ADMINISTERED_TO__SPEC__,C0030705,AFFECTS,C0087111,USES,C0033148,3
C0023791,TREATS,C0338656,AFFECTS,C0087111,USES,C0033148,3
C0023791,TREATS,C0600688,PREVENTS,C0087111,USES,C0033148,3
C0023791,TREATS,C2986594,PREVENTS,C0087111,USES,C0033148,3
C0023791,PREVENTS,C0242606,PREVENTS,C0087111,USES,C0033148,3
C0023791,DISRUPTS,C0021368,PREVENTS,C0087111,USES,C0033148,3
C0023791,CAUSES__SPEC__,C0012634,PREVENTS,C0087111,USES,C0033148,3
C0023791,TREATS__INFER__,C0497327,PREVENTS,C0087111,USES,C0033148,3
C0023791,TREATS,C0338656,PREVENTS,C0087111,USES,C0033148,3
C0023791,DISRUPTS,C0021368,TREATS,C0087111,USES,C0033148,3
C0023791,PREVENTS,C0242606,TREATS,C0087111,USES,C0033148,3
C0023791,CAUSES__SPEC__,C0012634,TREATS,C0087111,USES,C0033148,3
C0023791,TREATS,C0025936,TREATS,C0087111,USES,C0033148,3
C0023791,TREATS,C0338656,TREATS,C0087111,USES,C0033148,3
C0023791,TREATS,C2986594,TREATS,C0087111,USES,C0033148,3
C0023791,TREATS__INFER__,C0497327,TREATS,C0087111,USES,C0033148,3
C0023791,TREATS,C0027361,TREATS,C0087111,USES,C0033148,3
C0023791,TREATS,C0026809,TREATS,C0087111,USES,C0033148,3
C0023791,ADMINISTERED_TO,C0026809,TREATS,C0087111,USES,C0033148,3
C0023791,ADMINISTERED_TO__SPEC__,C0030705,TREATS,C0087111,USES,C0033148,3
C0023791,DISRUPTS,C0021368,CAUSES,C0087111,USES,C0033148,3
C0023791,CAUSES__SPEC__,C0012634,CAUSES,C0087111,USES,C0033148,3
C0023791,compared_with,C0001047,USES,C0087111,USES,C0033148,3
C0023791,higher_than,C0001047,USES,C0087111,USES,C0033148,3
C0023791,INTERACTS_WITH,C0023764,USES,C0087111,USES,C0033148,3
C0023791,INTERACTS_WITH,C0033684,USES,C0087111,USES,C0033148,3
C0023791,ISA,C0033684,USES,C0087111,USES,C0033148,3
C0023791,INTERACTS_WITH,C1254351,USES,C0087111,USES,C0033148,3
C0023791,ISA,C1254351,USES,C0087111,USES,C0033148,3
C0023791,COEXISTS_WITH,C0073096,USES,C0087111,USES,C0033148,3
C0023791,ISA,C0003402,USES,C0087111,USES,C0033148,3
C0023791,STIMULATES,C3539624,USES,C0087111,USES,C0033148,3
C0023791,ISA,C0013227,USES,C0087111,USES,C0033148,3
C0023791,INTERACTS_WITH,C1254351,compared_with,C0087111,USES,C0033148,3
C0023791,ISA,C1254351,compared_with,C0087111,USES,C0033148,3
C0023791,USES,C3540512,compared_with,C0087111,USES,C0033148,3
C0023791,USES,C0242297,ISA,C0087111,USES,C0033148,3
C0023791,USES,C3540512,ISA,C0087111,USES,C0033148,3
C0023791,USES,C3540512,METHOD_OF,C0087111,USES,C0033148,3
C0023791,USES,C0005863,METHOD_OF,C0087111,USES,C0033148,3
C0023791,USES,C3540512,METHOD_OF,C0087111,USES,C0033148,3
C0023791,CAUSES__SPEC__,C0012634,PREDISPOSES,C0087111,USES,C0033148,3
C0023791,DISRUPTS,C0021368,PREDISPOSES,C0087111,USES,C0033148,3
C0023791,TREATS,C0026809,ADMINISTERED_TO,C0087111,USES,C0033148,3
C0023791,ADMINISTERED_TO,C0026809,ADMINISTERED_TO,C0087111,USES,C0033148,3
C0023791,TREATS,C0027361,ADMINISTERED_TO,C0087111,USES,C0033148,3
C0023791,ADMINISTERED_TO__SPEC__,C0030705,ADMINISTERED_TO,C0087111,USES,C0033148,3
C0023791,TREATS__INFER__,C0013080,TREATS__INFER__,C0087111,USES,C0033148,3
C0023791,TREATS,C0338656,TREATS__INFER__,C0087111,USES,C0033148,3
